"movie","title","genre","gross","inflationAdjustedGross"
"http://dbpedia.org/resource/2010:_The_Year_We_Make_Contact","Космічна одіссея 2010 року",,,0
"http://dbpedia.org/resource/2012_(film)","2012 (فيلم)",,"7.912E8",870320000
"http://dbpedia.org/resource/2012_(film)","2012 (pel·lícula)",,"7.912E8",870320000
"http://dbpedia.org/resource/2012_(film)","2012 (film)",,"7.912E8",870320000
"http://dbpedia.org/resource/2012_(film)","2012 (Film)",,"7.912E8",870320000
"http://dbpedia.org/resource/2012_(film)","2012 (ταινία)",,"7.912E8",870320000
"http://dbpedia.org/resource/2012_(film)","2012 (film)",,"7.912E8",870320000
"http://dbpedia.org/resource/2012_(film)","2012 (película)",,"7.912E8",870320000
"http://dbpedia.org/resource/2012_(film)","2012 (filma)",,"7.912E8",870320000
"http://dbpedia.org/resource/2012_(film)","2012 (film)",,"7.912E8",870320000
"http://dbpedia.org/resource/2012_(film)","2012 (film)",,"7.912E8",870320000
"http://dbpedia.org/resource/2012_(film)","2012 (film)",,"7.912E8",870320000
"http://dbpedia.org/resource/2012_(film)","2012 (영화)",,"7.912E8",870320000
"http://dbpedia.org/resource/2012_(film)","2012 (映画)",,"7.912E8",870320000
"http://dbpedia.org/resource/2012_(film)","2012 (film)",,"7.912E8",870320000
"http://dbpedia.org/resource/2012_(film)","2012 (filme)",,"7.912E8",870320000
"http://dbpedia.org/resource/2012_(film)","2012 (film)",,"7.912E8",870320000
"http://dbpedia.org/resource/2012_(film)","2012 (фильм)",,"7.912E8",870320000
"http://dbpedia.org/resource/2012_(film)","2012 (film)",,"7.912E8",870320000
"http://dbpedia.org/resource/2012_(film)","2012 (電影)",,"7.912E8",870320000
"http://dbpedia.org/resource/2012_(film)","2012 (фільм)",,"7.912E8",870320000
"http://dbpedia.org/resource/20_Million_Miles_to_Earth","A 20 milions de milles de la terra",,,0
"http://dbpedia.org/resource/20_Million_Miles_to_Earth","Die Bestie aus dem Weltenraum",,,0
"http://dbpedia.org/resource/20_Million_Miles_to_Earth","20 Million Miles to Earth",,,0
"http://dbpedia.org/resource/20_Million_Miles_to_Earth","La bestia de otro planeta",,,0
"http://dbpedia.org/resource/20_Million_Miles_to_Earth","20 Million Miles to Earth",,,0
"http://dbpedia.org/resource/20_Million_Miles_to_Earth","À des millions de kilomètres de la Terre",,,0
"http://dbpedia.org/resource/20_Million_Miles_to_Earth","A 30 milioni di km. dalla Terra",,,0
"http://dbpedia.org/resource/20_Million_Miles_to_Earth","지구에서 2천만 마일",,,0
"http://dbpedia.org/resource/20_Million_Miles_to_Earth","地球へ2千万マイル",,,0
